#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:10
fqq(Wpm2OH	Basic (and reversed card)-b9071	日文文法	が主語	猫が鳴ています（貓在叫）[sound:rec1548374605.mp3]					
vf~S&Fqg8a	Basic (and reversed card)-b9071	日文文法	が（對象）	私は音楽が聴きたいです（我想聽音樂）[sound:rec1548375078.mp3]					
IN(3@8t@pM	Basic (and reversed card)-b9071	日文文法	（疑問詞）＋が	どっちが早いです[sound:rec1548375441.mp3]（哪一邊比較快呢？）					
IAk}*5lSwA	Basic (and reversed card)-b9071	日文文法	が（逆接）	鶏は食べますが、牛肉は食べません(吃雞肉、不吃牛肉)[sound:rec1548375859.mp3]					
nRhR`9M5J9	Basic (and reversed card)-b9071	日文文法	が(前置詞)	失礼ですが,鈴木さんでしようか（不好意思,請問是鈴木先生嗎?[sound:rec1548376121.mp3]					
w8,S!iIk!A	Basic (and reversed card)-b9071	日文文法	( 目的語)+を	日本語に手紙を書きます(寫日文書信)[sound:rec1548376380.mp3]					
EX;[!q:rZ5	Basic (and reversed card)-b9071	日文文法	(通過,移動)+を+自動詞	"この角を右に曲がります(在這個轉角右轉)[sound:rec1548376843.mp3]<br>（<span style=""background-color: rgb(128, 255, 7);"">自V</span>）<br>1.<span style=""background-color: rgb(128, 255, 7);"">大自然</span>的現象<br>2.<span style=""background-color: rgb(128, 255, 7);"">人/事/物</span>的<span style=""background-color: rgb(254, 204, 102);"">狀態</span>"					
NeOTg6ECT+	Basic (and reversed card)-b9071	日文文法	(離開點)+を	七時に家を出ます(七點出門)[sound:rec1548377072.mp3]					
KHr!s*xte3	Basic (and reversed card)-b9071	日文文法	(場所)+に　　在....	木の下に妹がいます(妹妹在樹下)[[sound:rec1548377322.mp3]					
"o@ZCkg#X?r"	Basic (and reversed card)-b9071	日文文法	(到達點)+に &nbsp; &nbsp;(去....),(到....),(在....)	今日成田に着きます(今天會抵達成田)[sound:rec1548377729.mp3]					
k[6:U5eJDv	Basic (and reversed card)-b9071	日文文法	(時間)+に &nbsp;&nbsp;	7月に日本へ来ました(在七月時來到了日本)[sound:rec1548384080.mp3]					
BX|$N-a2%x	Basic (and reversed card)-b9071	1.每日日文文法	(目的)+に	"熱を測るのに使います。可以用來測量體溫<br>文法：L42<br><b><div><span style=""background-color: rgb(255, 229, 153); font-weight: 400;"">V原 の</span></div><div><span style=""background-color: rgb(255, 229, 153); font-weight: 400;"">Ｎ</span></div><span style=""font-weight: 400;"">+</span><span style=""background-color: rgb(0, 255, 0); font-weight: 400;"">に</span><span style=""font-weight: 400;"">....必要です<br>ええ、お土産<span style=""background-color: rgb(255, 252, 121);"">に</span>いいです</span></b>"					N4文法
DduY@I.a/s	Basic (and reversed card)-b9071	日文文法	[對象(人)]+に　［給．．．］，［跟．．．］	友達に電話をかけます（打電話給朋友）[sound:rec1548384992.mp3]					
f,ia6gn^^.	Basic (and reversed card)-b9071	日文文法	［時間］+に+［次數］	一日に2時間ぐらい、勉強します（一天大約念兩小時的書）[sound:rec1548385279.mp3]					
w3kGLP}qz.	Basic (and reversed card)-b9071	日文文法	［場所］＋で　　在．．．	あの店でラーメンを食べました（在那家店吃了拉麵）[sound:rec1548385672.mp3]					
lF6EdxB^u=	Basic (and reversed card)-b9071	日文文法	［方法．手段］+で　　　［搭．．．］，［用．．．］	箸でご飯を食べます（用筷子吃飯）[sound:rec1548385894.mp3]					
w^[hTA6Lrk	Basic (and reversed card)-b9071	日文文法	［材料］＋で　「用...」	この料理は肉と野菜で作りました（這個料理是用肉及蔬菜做成的）[sound:rec1548386407.mp3]					
kR:n?iN;-h	Basic (and reversed card)-b9071	日文文法	［理由］＋で　　「因為．．．」	私は風邪で頭が痛いです（我因為感冒所以頭很痛）[sound:rec1548386743.mp3]					
fn9{G=_[a^	Basic (and reversed card)-b9071	日文文法	［數量］＋で+［數量］　　｛共是．．．｝	入場料は二人で1500えんです（入場費是兩人共１５００元）[sound:rec1548398573.mp3]					
pphrB^2+lq	Basic (and reversed card)-b9071	日文文法	［場所．方向］へ　　［往．．．］	来月国へ帰ります（下個月回國）[sound:rec1548409395.mp3]					
ejT@krr0yE	Basic (and reversed card)-b9071	日文文法	［場所］へ[目的]に	図書館へ本を返しに行きます(去圖書館還書)[sound:rec1548409794.mp3]					
"fl#J+-*xq,"	Basic (and reversed card)-b9071	日文文法	[名詞]+と+［名詞］　　　［．．．和．．．］	公園に猫と犬がいます （公園有貓和狗）[sound:rec1548409966.mp3]					
e1gn+%7{L$	Basic (and reversed card)-b9071	日文文法	［對象］と（いっしょに）　［跟．．．一起］	彼女と晩ご飯を食べました（和她一起吃了晚餐）[sound:rec1548410323.mp3]					
e.!MKUmLh7	Basic (and reversed card)-b9071	日文文法	［對象］と　　　［跟．．．］	主人と離婚します（我要跟我老公離婚了）[sound:rec1548422978.mp3]					
Jiv8K{1Pb?	Basic (and reversed card)-b9071	日文文法	［引用內容］と　「說．．．」「寫．．．」	彼女は今日来ないと言っています（她說她今天不會來）[sound:rec1548429823.mp3]					
q@TzT[v8s|	Basic (and reversed card)-b9071	日文文法	［場所］＋から、［場所］+まで　　［從．．．］	駅から学校までは通りですか。 （從車站到學校很遠嗎？）[sound:rec1548430281.mp3]					
gnc`9JMDNW	Basic (and reversed card)-b9071	日文文法	［時間］から、［時間］+まで　　　「從．．．到．．．」	夏休みわ7月から9月までです（暑假是從７月到九月）[sound:rec1548430679.mp3]					
n(e;>phVQB	Basic (and reversed card)-b9071	日文文法	［起點（人）］から　　「從．．」	山田さんから時計を借りました（我像山田先生借了手錶）[sound:rec1548430979.mp3]					
qq[lL=EFCZ	Basic (and reversed card)-b9071	日文文法	...から、...（原因）	今日は天気が悪いから、傘を持っています。（因為今天天氣不好，所以帶傘去）[sound:rec1548431552.mp3]					
m<a,lQ7H*T	Basic (and reversed card)-b9071	日文文法	...や...(並列)	リンゴやみかんを買います(買了蘋果和橘子)<div>[sound:rec1548514007.mp3]</div>					
pOWsHyz)>=	Basic (and reversed card)-b9071	日文文法	...や...など[和...等]	机にペンやノートなどがあります(書桌上有筆和筆記本)[sound:rec1548514309.mp3]					
tt5z$THMk<	Basic (and reversed card)-b9071	日文文法	名詞+の+名詞	五月五日は子供の日です(五月五日是兒童節)<div>[sound:rec1548514754.mp3]</div>					
jw8G5yL5dR	Basic (and reversed card)-b9071	日文文法	名詞+の	私の傘は一番左です(我的傘是最左邊那支)<div>[sound:rec1548515129.mp3]</div>					
O{Qu}vg8B_	Basic (and reversed card)-b9071	日文文法	名詞+の（名詞修飾主詞)	あれは兄の描いた絵です(那是哥哥的畫)<div>[sound:rec1548515544.mp3]</div>					
