front,back,sentence,tags,deck
が主語,猫が鳴ています（貓在叫）,,日文文法,日文文法
が（對象）,私は音楽が聴きたいです（我想聽音樂）,,日文文法,日文文法
（疑問詞）＋が,どっちが早いです（哪一邊比較快呢？）,,日文文法,日文文法
が（逆接）,鶏は食べますが、牛肉は食べません(吃雞肉、不吃牛肉),,日文文法,日文文法
が(前置詞),"失礼ですが,鈴木さんでしようか（不好意思,請問是鈴木先生嗎?",,日文文法,日文文法
( 目的語)+を,日本語に手紙を書きます(寫日文書信),,日文文法,日文文法
"(通過,移動)+を+自動詞",この角を右に曲がります(在這個轉角右轉)（自V）1.大自然的現象2.人/事/物的狀態,,日文文法,日文文法
(離開點)+を,七時に家を出ます(七點出門),,日文文法,日文文法
(場所)+に　　在....,木の下に妹がいます(妹妹在樹下)[,,日文文法,日文文法
"(到達點)+に &nbsp; &nbsp;(去....),(到....),(在....)",今日成田に着きます(今天會抵達成田),,日文文法,日文文法
(時間)+に &nbsp;&nbsp;,7月に日本へ来ました(在七月時來到了日本),,日文文法,日文文法
(目的)+に,熱を測るのに使います。可以用來測量體溫文法：L42V原 のＮ+に....必要ですええ、お土産にいいです,,1.每日日文文法,1.每日日文文法
[對象(人)]+に　［給．．．］，［跟．．．］,友達に電話をかけます（打電話給朋友）,,日文文法,日文文法
［時間］+に+［次數］,一日に2時間ぐらい、勉強します（一天大約念兩小時的書）,,日文文法,日文文法
［場所］＋で　　在．．．,あの店でラーメンを食べました（在那家店吃了拉麵）,,日文文法,日文文法
［方法．手段］+で　　　［搭．．．］，［用．．．］,箸でご飯を食べます（用筷子吃飯）,,日文文法,日文文法
［材料］＋で　「用...」,この料理は肉と野菜で作りました（這個料理是用肉及蔬菜做成的）,,日文文法,日文文法
［理由］＋で　　「因為．．．」,私は風邪で頭が痛いです（我因為感冒所以頭很痛）,,日文文法,日文文法
［數量］＋で+［數量］　　｛共是．．．｝,入場料は二人で1500えんです（入場費是兩人共１５００元）,,日文文法,日文文法
［場所．方向］へ　　［往．．．］,来月国へ帰ります（下個月回國）,,日文文法,日文文法
［場所］へ[目的]に,図書館へ本を返しに行きます(去圖書館還書),,日文文法,日文文法
[名詞]+と+［名詞］　　　［．．．和．．．］,公園に猫と犬がいます （公園有貓和狗）,,日文文法,日文文法
［對象］と（いっしょに）　［跟．．．一起］,彼女と晩ご飯を食べました（和她一起吃了晚餐）,,日文文法,日文文法
［對象］と　　　［跟．．．］,主人と離婚します（我要跟我老公離婚了）,,日文文法,日文文法
［引用內容］と　「說．．．」「寫．．．」,彼女は今日来ないと言っています（她說她今天不會來）,,日文文法,日文文法
［場所］＋から、［場所］+まで　　［從．．．］,駅から学校までは通りですか。 （從車站到學校很遠嗎？）,,日文文法,日文文法
［時間］から、［時間］+まで　　　「從．．．到．．．」,夏休みわ7月から9月までです（暑假是從７月到九月）,,日文文法,日文文法
［起點（人）］から　　「從．．」,山田さんから時計を借りました（我像山田先生借了手錶）,,日文文法,日文文法
...から、...（原因）,今日は天気が悪いから、傘を持っています。（因為今天天氣不好，所以帶傘去）,,日文文法,日文文法
...や...(並列),リンゴやみかんを買います(買了蘋果和橘子),,日文文法,日文文法
...や...など[和...等],机にペンやノートなどがあります(書桌上有筆和筆記本),,日文文法,日文文法
名詞+の+名詞,五月五日は子供の日です(五月五日是兒童節),,日文文法,日文文法
名詞+の,私の傘は一番左です(我的傘是最左邊那支),,日文文法,日文文法
名詞+の（名詞修飾主詞),あれは兄の描いた絵です(那是哥哥的畫),,日文文法,日文文法
...は...です（主題）,冬は寒いです（冬天很冷）,,日文文法,日文文法
...は...ません(否定),飲み物はいりません(不要飲料),,日文文法,日文文法
...は...が、...は...(對比),"前にきれいでしたが、今はきれいではありません(之前很漂亮,但是現在不漂亮)",,日文文法,日文文法
...も...(並列),猫も犬も黒いです(貓和狗都黑色的),,日文文法,日文文法
"...も...(附加,重複)",今日も明日も働きます(今天和明天都要工作),,日文文法,日文文法
...も...(數量),ご飯を三杯も食べました,,日文文法,日文文法
疑問詞+も+否定(完全否定),どこにも行きたくありません(哪裡都不想去),,日文文法,日文文法
には／へは／とは（とも）,花子は誰とも会いません(花子他誰也不想見),,日文文法,日文文法
にも／からも／でも（では）,デストは私にも難しいです(考試對我來說也很難),,日文文法,日文文法
[時間]+ぐらい／くらい,私は毎日2時間ぐらい勉強します(我每天大約念兩小時的書),,日文文法,日文文法
[數量]+ぐらい／くらい,この本は3回ぐらい読みました(這本書看了三次左右),,日文文法,日文文法
...だけ...だけの...,"漢字は少しだけわかります(漢字只懂一點點)できるだけできるだけ[副]盡量=なるべく「～多少就;盡量～」在某個範圍程度內,(想/要/能)多少就～文法：Ｖ原い/いな/な＋だけ...Ｖ普＋だけの＋Ｎ(足以～；得以應付)表後面接的名詞足以應付～",,1.每日日文文法,1.每日日文文法
しか+[否定],お弁当は一つしか買いませんでした(僅僅買了一個便當)五千円しかありません僅有5000日圓,,1.每日日文文法,1.每日日文文法
...か...(選擇),ビールかお酒を飲みます(喝啤酒或清酒),,日文文法,日文文法
...か...か...(選擇),熱いか寒いかわかりません(不知道是冷還是熱),,日文文法,日文文法
[疑問詞]+か,いつか行きましょう(改天一起去吧),,日文文法,日文文法
[句子]+か,あなたは学生ですか(你是學生嗎),,日文文法,日文文法
"[疑問句]+か。[疑問句]+か。「是...,還是...」",ラーメンはおいしいですか、まずいですか。(拉麵好吃還是難吃?),,日文文法,日文文法
[句子]+ね,今日はとても熱いですね(今天好熱呀),,日文文法,日文文法
[句子]+よ,あの映画は面白いですよ(那部電影很好看喔),,日文文法,日文文法
[句子]+わ　　　女性用語,あ、お金がないわ(阿!沒有錢了)&nbsp;,,日文文法,日文文法
中(じゅう) / (ちゅう),仕事は今月中に終わります(工作將在這個月結束),,日文文法,日文文法
